no,source_relative_path,source_name,target_directory,target_path,size_bytes,source_state,placement_rationale,copied_as
1,000_dot.meta.md,000_dot.meta.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/000_dot.meta.md,6911,original,미분류 Markdown 후보군,000_dot.meta.md
2,100_empty_position.meta.md,100_empty_position.meta.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/100_empty_position.meta.md,8517,original,미분류 Markdown 후보군,100_empty_position.meta.md
3,101부터121까지.zip,101부터121까지.zip,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/101부터121까지.zip,197081,original,미분류 zip 후보군,101부터121까지.zip
4,AI_Cognitive_OS_v1.py,AI_Cognitive_OS_v1.py,06_ai_cognitive_os/AI인지OS,epluone/06_ai_cognitive_os/AI인지OS/_source_original/AI_Cognitive_OS_v1.py,6650,original,AI Cognitive OS 본체/엔진,AI_Cognitive_OS_v1.py
5,AI인지OS(5).zip,AI인지OS(5).zip,06_ai_cognitive_os/AI인지OS,epluone/06_ai_cognitive_os/AI인지OS/_source_original/AI인지OS(5).zip,4723,original,AI Cognitive OS 본체/엔진,AI인지OS(5).zip
6,AI인지OS_백데이터(3).zip,AI인지OS_백데이터(3).zip,06_ai_cognitive_os/AI인지OS_백데이터,epluone/06_ai_cognitive_os/AI인지OS_백데이터/_source_original/AI인지OS_백데이터(3).zip,6941,original,AI인지OS 백데이터,AI인지OS_백데이터(3).zip
7,Ctp_SeungeFlow.py,Ctp_SeungeFlow.py,02_theory_core/C_equals_t_p,epluone/02_theory_core/C_equals_t_p/_source_original/Ctp_SeungeFlow.py,6339,original,Ctp_SeungeFlow 핵심 엔진 / 이론-동역학 연결,Ctp_SeungeFlow.py
8,Ctp_SeungeFlow_FULL.py,Ctp_SeungeFlow_FULL.py,02_theory_core/C_equals_t_p,epluone/02_theory_core/C_equals_t_p/_source_original/Ctp_SeungeFlow_FULL.py,2962,original,Ctp_SeungeFlow 핵심 엔진 / 이론-동역학 연결,Ctp_SeungeFlow_FULL.py
9,Ctp_SeungeFlow_analysis_report(1).py,Ctp_SeungeFlow_analysis_report(1).py,02_theory_core/C_equals_t_p,epluone/02_theory_core/C_equals_t_p/_source_original/Ctp_SeungeFlow_analysis_report(1).py,8918,original,Ctp_SeungeFlow 핵심 엔진 / 이론-동역학 연결,Ctp_SeungeFlow_analysis_report(1).py
10,Ctp_당연한이론.zip,Ctp_당연한이론.zip,02_theory_core/Ctp_당연한이론,epluone/02_theory_core/Ctp_당연한이론/_source_original/Ctp_당연한이론.zip,104163,original,구조원리 기반이론 원본,Ctp_당연한이론.zip
11,L7OS_for_M7DQ(12).zip,L7OS_for_M7DQ(12).zip,07_the_things_os,epluone/07_the_things_os/_source_original/L7OS_for_M7DQ(12).zip,305891,original,L7OS / implementation branch,L7OS_for_M7DQ(12).zip
12,MyBrain_ThisPoint_0001(1).py,MyBrain_ThisPoint_0001(1).py,01_formation_trace/MyBrain_ThisPoint,epluone/01_formation_trace/MyBrain_ThisPoint/_source_original/MyBrain_ThisPoint_0001(1).py,39895,original,Ctp 이전 형성 흐름 / MyBrain_ThisPoint,MyBrain_ThisPoint_0001(1).py
13,MyBrain_ThisPoint_0002(1).py,MyBrain_ThisPoint_0002(1).py,01_formation_trace/MyBrain_ThisPoint,epluone/01_formation_trace/MyBrain_ThisPoint/_source_original/MyBrain_ThisPoint_0002(1).py,38284,original,Ctp 이전 형성 흐름 / MyBrain_ThisPoint,MyBrain_ThisPoint_0002(1).py
14,MyBrain_ThisPoint_0003(1).py,MyBrain_ThisPoint_0003(1).py,01_formation_trace/MyBrain_ThisPoint,epluone/01_formation_trace/MyBrain_ThisPoint/_source_original/MyBrain_ThisPoint_0003(1).py,35605,original,Ctp 이전 형성 흐름 / MyBrain_ThisPoint,MyBrain_ThisPoint_0003(1).py
15,MyBrain_ThisPoint_0004(1).py,MyBrain_ThisPoint_0004(1).py,01_formation_trace/MyBrain_ThisPoint,epluone/01_formation_trace/MyBrain_ThisPoint/_source_original/MyBrain_ThisPoint_0004(1).py,30211,original,Ctp 이전 형성 흐름 / MyBrain_ThisPoint,MyBrain_ThisPoint_0004(1).py
16,MyBrain_ThisPoint_0005.py,MyBrain_ThisPoint_0005.py,01_formation_trace/MyBrain_ThisPoint,epluone/01_formation_trace/MyBrain_ThisPoint/_source_original/MyBrain_ThisPoint_0005.py,92890,original,Ctp 이전 형성 흐름 / MyBrain_ThisPoint,MyBrain_ThisPoint_0005.py
17,MyBrain_ThisPoint_0006.py,MyBrain_ThisPoint_0006.py,01_formation_trace/MyBrain_ThisPoint,epluone/01_formation_trace/MyBrain_ThisPoint/_source_original/MyBrain_ThisPoint_0006.py,16358,original,Ctp 이전 형성 흐름 / MyBrain_ThisPoint,MyBrain_ThisPoint_0006.py
18,MyBrain_ThisPoint_0007.md,MyBrain_ThisPoint_0007.md,01_formation_trace/MyBrain_ThisPoint,epluone/01_formation_trace/MyBrain_ThisPoint/_source_original/MyBrain_ThisPoint_0007.md,197569,original,Ctp 이전 형성 흐름 / MyBrain_ThisPoint,MyBrain_ThisPoint_0007.md
19,SEUNGE.E.FLOW DYNAMIC RATIO_CGM ENGINE.py,SEUNGE.E.FLOW DYNAMIC RATIO_CGM ENGINE.py,05_dynamic_geometry/vortex,epluone/05_dynamic_geometry/vortex/_source_original/SEUNGE.E.FLOW DYNAMIC RATIO_CGM ENGINE.py,5075,original,F=ma / Ratio / vortex-flow engine,SEUNGE.E.FLOW DYNAMIC RATIO_CGM ENGINE.py
20,SEUNGE.E.FLOW F=ma ENGINE.py,SEUNGE.E.FLOW F=ma ENGINE.py,05_dynamic_geometry/vortex,epluone/05_dynamic_geometry/vortex/_source_original/SEUNGE.E.FLOW F=ma ENGINE.py,3860,original,F=ma / Ratio / vortex-flow engine,SEUNGE.E.FLOW F=ma ENGINE.py
21,SEUNGE.E.FLOW TEXT-BASED VECTOR SPACE.py,SEUNGE.E.FLOW TEXT-BASED VECTOR SPACE.py,03_vector_operation/flow_formula,epluone/03_vector_operation/flow_formula/_source_original/SEUNGE.E.FLOW TEXT-BASED VECTOR SPACE.py,5949,original,text-vector 기반 벡터공간 실행 자료,SEUNGE.E.FLOW TEXT-BASED VECTOR SPACE.py
22,SeungeFlow_Cassini(2).zip,SeungeFlow_Cassini(2).zip,05_dynamic_geometry/cassini_gap,epluone/05_dynamic_geometry/cassini_gap/_source_original/SeungeFlow_Cassini(2).zip,12080,original,Cassini gap / 전이 좌표 field,SeungeFlow_Cassini(2).zip
23,SeungeFlow_Ctp_v3(1).md,SeungeFlow_Ctp_v3(1).md,02_theory_core/c_tp_C,epluone/02_theory_core/c_tp_C/_source_original/SeungeFlow_Ctp_v3(1).md,1388,original,Ctp v3 / survival framework / theorem 계열,SeungeFlow_Ctp_v3(1).md
